bounded_hold_steps_sum,completed_inferences_per_second_mean,delay_profile,delivery_latency_p50_seconds_median,delivery_latency_p95_seconds_median,depletion_safe_hold_steps_sum,disconnects_sum,dropped_prefix_steps_sum,environment_steps_per_second_mean,episodes,fallback_activations_sum,fallback_chunks_accepted_sum,gpu_generated_actions_per_second_p50_median,hold_steps_sum,inference_latency_p50_seconds_median,inference_latency_p95_seconds_median,mean_environment_steps,model,peak_cuda_memory_mib_max,queue_age_p50_steps_median,queue_age_p95_steps_median,queue_depth_p50_steps_median,queue_depth_p95_steps_median,recoveries_sum,runtime,split,success_rate,successes,suite
,4.225033414364497,burst_0250_to1800_canary,0.41457245708443224,1.922441606177017,,,935.0,12.198080341471695,1,,,343.1602889812483,16.0,0.08742270292714238,0.14656140911392868,179.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_spatial
,1.8199520501662134,fixed_0000,0.141446053981781,0.26121574159478766,,,68.0,11.085162487376028,1,,,365.86217149807857,0.0,0.08199809200596064,0.1335983486031182,134.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_spatial
,4.500081477832359,fixed_0950,1.0788991084555164,1.1562320015509613,,,828.0,11.89307247712838,1,,,347.76767217925357,9.0,0.08626448747236282,0.17373201943701128,185.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,canary,1.0,1,libero_spatial
,0.5015986408625891,burst_0250_to1800_canary,0.368394766934216,1.53572772112675,,,0.0,13.34252384694487,1,,,366.9294822916205,0.0,0.08175957901403308,0.08581608291715384,133.0,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,1,libero_spatial
,0.7068121849595924,fixed_0000,0.08976805908605456,0.09359300918877125,,,0.0,18.801204119925156,1,,,367.74245185460467,0.0,0.08157883281819522,0.08591916258446872,133.0,xvla,3520.8251953125,,,,,,sync_hold,canary,1.0,1,libero_spatial
,0.42298556233229617,fixed_0950,1.0395864599850029,1.0423640166874975,,,0.0,11.251415958039079,1,,,365.43525359038614,0.0,0.08209388586692512,0.0849128829780966,133.0,xvla,3528.9501953125,,,,,,sync_hold,canary,1.0,1,libero_spatial
10.0,0.83750342045113,burst_0250_to2000_holdout,0.47519349097274244,3.734829356055704,310.0,5.0,657.0,10.949124462200254,5,0.0,0.0,159.8957812582252,320.0,0.18762221094220877,2.6477098735398577,154.2,xvla,12258.9501953125,14.0,25.099999999999994,10.0,23.0,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_goal
0.0,5.438556090759906,fixed_0000,0.09599813108798116,0.1412306692451238,0.0,5.0,624.0,10.69201590424552,5,0.0,0.0,345.96028876200137,0.0,0.08671515481546521,0.1295333620160818,127.4,xvla,12258.9501953125,3.0,4.6499999999999915,28.0,29.0,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_goal
0.0,1.1177935671998784,fixed_0250,0.4318292159587145,2.324171050870789,0.0,5.0,485.0,8.923219562824476,5,0.0,0.0,181.7702859328043,0.0,0.16504347696900368,2.0569822944584284,102.2,xvla,12258.9501953125,13.0,18.0,18.0,24.799999999999997,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_goal
89.0,0.5693877754721725,fixed_0950,1.1617404110729694,2.828103906428436,618.0,5.0,1090.0,11.265557224339544,5,0.0,0.0,152.1121578878847,707.0,0.1972228940576315,1.860201588668855,229.2,xvla,12258.9501953125,25.0,29.0,0.0,15.050000000000011,5.0,actionstream_backend_aligned,holdout,0.4,2,libero_goal
